,name,username,time_posted,post_body
0,USA TODAY,@USAToday@flipboard.com,15m,'Stranger Things' Season 5 Ep 3 recap − Let's get this party startedhttps://www.usatoday.com/story/entertainment/tv/2025/11/26/stranger-things-season-5-episode-3-recap-the-turnbow-trap/87446071007/?utm_source=flipboard&utm_medium=activitypub Posted into Entertainment @entertainment-USAToday
1,USA TODAY,@USAToday@flipboard.com,36m,"As 'Stranger Things' premiere crashes Netflix, the stars reflect on the endhttps://www.usatoday.com/story/entertainment/celebrities/2025/11/26/stranger-things-netflix-cast-reacts-final-season/87489771007/?utm_source=flipboard&utm_medium=activitypub Posted into Entertainment @entertainment-USAToday"
2,USA TODAY,@USAToday@flipboard.com,50m,Trump's National Guard deployments around the US: What we knowhttps://www.usatoday.com/story/news/nation/2025/11/26/national-guard-deployments-around-us/87490048007/?utm_source=flipboard&utm_medium=activitypub Posted into Top Stories @top-stories-USAToday
3,Us Weekly,@usweekly@flipboard.com,1h,‘Southern Charm’ Recap: Salley Hints She Is a Better Fit for Austen Than His Girlfriend Audreyhttps://www.usmagazine.com/entertainment/news/southern-charms-salley-says-shed-hook-up-with-austen-day-after-split/?utm_source=flipboard&utm_medium=activitypub Posted into Entertainment @entertainment-usweekly
4,USA TODAY,@USAToday@flipboard.com,58m,Jackson Browne announces the death of his son Ethan Brownehttps://www.usatoday.com/story/entertainment/celebrities/2025/11/26/jackson-browne-son-ethan-death/87489589007/?utm_source=flipboard&utm_medium=activitypub Posted into Entertainment @entertainment-USAToday
5,USA TODAY,@USAToday@flipboard.com,1h,Kansas City Steaks Black Friday deal has up to 20% off gourmet giftshttps://www.usatoday.com/story/shopping/2025/11/26/kansas-city-steaks-black-friday-deal-steak/87490233007/?utm_source=flipboard&utm_medium=activitypub Posted into USA TODAY Shopping @usa-today-shopping-USAToday
6,USA TODAY,@USAToday@flipboard.com,1h,'Stranger Things' Season 5 Episode 2 recap − The final battle beginshttps://www.usatoday.com/story/entertainment/tv/2025/11/26/stranger-things-season-5-episode-2-recap-vanishing-of-holly-wheeler/87445954007/?utm_source=flipboard&utm_medium=activitypub Posted into Entertainment @entertainment-USAToday
7,Us Weekly,@usweekly@flipboard.com,1h,Whitney Leavitt and Mark Ballas Reveal ‘Dancing With the Stars’ Freestyle About Online Hate After Eliminationhttps://www.usmagazine.com/entertainment/news/whitney-leavitt-and-mark-ballas-reveal-dancing-with-the-stars-freestyle/?utm_source=flipboard&utm_medium=activitypub Posted into Entertainment @entertainment-usweekly
8,Us Weekly,@usweekly@flipboard.com,2h,Halle Berry Wears the Sculpting Leggings Shoppers Say ‘Makes the Legs Look Longer’ — On Salehttps://www.usmagazine.com/shopping/news/halle-berry-alo-yoga-leggings-sale/?utm_source=flipboard&utm_medium=activitypub Posted into ALL STORIES @all-stories-usweekly
9,USA TODAY,@USAToday@flipboard.com,1h,Simon Cowell reveals his final conversation with Liam Paynehttps://www.usatoday.com/story/entertainment/celebrities/2025/11/26/simon-cowell-liam-payne-death-blame/87488411007/?utm_source=flipboard&utm_medium=activitypub Posted into Entertainment @entertainment-USAToday
10,USA TODAY,@USAToday@flipboard.com,1h,Dodgers' free agency tracker: Will Miguel Rojas re-sign?https://www.usatoday.com/story/sports/mlb/dodgers/2025/11/26/dodgers-free-agent-tracker-miguel-rojas/87489463007/?utm_source=flipboard&utm_medium=activitypub Posted into Sports @sports-USAToday
11,Us Weekly,@usweekly@flipboard.com,1h,Whitney Leavitt and Mark Ballas Discuss ‘Dancing With the Stars’ Elimination on ‘Call Her Daddy’ TKhttps://www.usmagazine.com/entertainment/news/whitney-leavitt-and-mark-ballas-discuss-dwts-exit-on-call-her-daddy/?utm_source=flipboard&utm_medium=activitypub Posted into Entertainment @entertainment-usweekly
12,USA TODAY,@USAToday@flipboard.com,2h,See Powerball winning numbers for Nov. 26 drawing; $681M jackpothttps://www.usatoday.com/story/money/lottery/2025/11/26/powerball-winning-numbers-lottery/87486477007/?utm_source=flipboard&utm_medium=activitypub Posted into Money @money-USAToday
13,USA TODAY,@USAToday@flipboard.com,2h,'Stranger Things' Season 5 premiere recap − A crawl to the finishhttps://www.usatoday.com/story/entertainment/tv/2025/11/26/stranger-things-season-5-premiere-recap/87445695007/?utm_source=flipboard&utm_medium=activitypub Posted into Entertainment @entertainment-USAToday
